Index,Value
0,1
1,2
2,3
3,5
4,8
5,13
6,21
7,34
8,55
9,89
10,144
11,233
12,377
13,610
14,987
15,1597
16,2584
17,4181
18,6765
19,10946
20,17711
21,28657
22,46368
23,75025
24,121393
25,196418
26,317811
27,514229
28,832040
29,1346269
30,2178309
31,3524578
32,5702887
33,9227465
34,14930352
35,24157817
36,39088169
37,63245986
38,102334155
39,165580141
40,267914296
41,433494437
42,701408733
43,1134903170
44,1836311903
45,2971215073
46,4807526976
47,7778742049
48,12586269025
49,20365011074
50,32951280099
51,53316291173
52,86267571272
53,1.39584E+11
54,2.25851E+11
55,3.65435E+11
56,5.91287E+11
57,9.56722E+11
58,1.54801E+12
59,2.50473E+12
60,4.05274E+12
61,6.55747E+12
62,1.06102E+13
63,1.71677E+13
64,2.77779E+13
65,4.49456E+13
66,7.27235E+13
67,1.17669E+14
68,1.90392E+14
69,3.08062E+14
70,4.98454E+14
71,8.06516E+14
72,1.30497E+15
73,2.11149E+15
74,3.41645E+15
75,5.52794E+15
76,8.94439E+15
77,1.44723E+16
78,2.34167E+16
79,3.78891E+16
80,6.13058E+16
81,9.91949E+16
82,1.60501E+17
83,2.59695E+17
84,4.20196E+17
85,6.79892E+17
86,1.10009E+18
87,1.77998E+18
88,2.88007E+18
89,4.66005E+18
90,7.54011E+18
